agency_short,request_type,description,processing_time,cost,how_to_description,payment_form_url,estimated_monthly_volume,deadline_window,effort_hours,online_available,api_available,mcp_available,related_pages,date_extracted,source_url,agency_full,eligibility,location_applicability,document_requirements,common_mistakes,community_feedback,user_tips,faqs,agency_phone,agency_email,agency_address,agency_hours,verified_by
Finance Department,Apply for a business license,"This applies to any individual or entity conducting business within Anchorage city limits, including home-based businesses, contractors, and retail operations. It covers obtaining a business license required to legally operate within the city. Fees start at a minimum of 50 USD and increase based on business size and gross revenue.",Typically 5 to 10 business days after application submission.,50-200,"Determine the appropriate business license type, complete the online or paper application, submit required documents and payment, wait for processing and approval, then receive your license by mail or in person.",,200-500,Business licenses must be renewed annually by March 31; late fees apply after this date.,1-3,Yes,No,No,"[""https://www.muni.org/Departments/finance/business-licenses/Pages/ApplyforBusinessLicense.aspx"", ""https://www.muni.org/Departments/finance/business-licenses/Pages/BusinessLicenseFeeSchedule.aspx"", ""https://www.muni.org/Departments/finance/business-licenses/Pages/BusinessLicenseFAQs.aspx""]",2025-11-18,https://www.muni.org/Departments/finance/business-licenses/Pages/default.aspx,Municipality of Anchorage Finance Department - Business Licenses,"Any individual or entity conducting business within Anchorage city limits must obtain a business license, including home-based businesses, contractors, and retail operations.","Applies to all businesses operating within the Municipality of Anchorage city limits, Alaska.","Completed business license application form, Proof of Anchorage business location or home address, Federal Employer Identification Number (EIN) or Social Security Number, State of Alaska business registration or incorporation documents, Payment for applicable fees",,,,"[{""question"":""Who needs a business license in Anchorage?"",""answer"":""Any individual or entity conducting business within Anchorage city limits must obtain a business license.""},{""question"":""What is the cost of a business license?"",""answer"":""Fees start at a minimum of 50 USD and increase based on gross revenue and business classification.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5 to 10 business days after application submission.""}]",907-343-6600,businesslicenses@muni.org,"632 W 6th Ave, Anchorage, AK 99501","Monday to Friday, 8:00 AM to 5:00 PM",
City of Chandler,Apply for a business license,"This applies to any individual or entity conducting business within Chandler city limits, including home-based, commercial, and contractor businesses. It covers obtaining the required business license to legally operate within the city. Initial fees start at 25 USD with additional fees based on business classification and gross receipts.",Typically 5-10 business days after application submission and fee payment.,25-500,"Determine your business license classification, complete the online application form, submit required documents, pay fees, and wait for approval from the Business License Division.",https://www.chandleraz.gov/business/business-licenses/apply-for-a-business-license,100-300,Business licenses must be obtained prior to commencing business operations within Chandler.,1-3,Yes,No,No,"[""https://www.chandleraz.gov/business/business-licenses/apply-for-a-business-license"", ""https://www.chandleraz.gov/business/business-licenses/fees"", ""https://www.chandleraz.gov/business/business-licenses/faq""]",2025-11-18,https://www.chandleraz.gov/business/business-licenses,City of Chandler Business License Division,"Any individual or entity conducting business within Chandler city limits must obtain a business license. This includes home-based businesses, commercial businesses, and contractors.","Applies to all businesses operating within the city limits of Chandler, Arizona.","Completed business license application form, Proof of identity, Federal Employer Identification Number (EIN) or Social Security Number, Zoning approval or home occupation permit if applicable, State licenses or permits if required for the business type, Certificate of Good Standing if applicable","Failing to obtain the license before starting business operations, incomplete application forms, missing required documents, and not paying applicable fees.",,,"[{""question"":""Who needs a business license in Chandler?"",""answer"":""Any individual or entity conducting business within Chandler city limits, including home-based and contractor businesses.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $25 with additional fees based on business classification and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",480-782-3030,businesslicense@chandleraz.gov,"175 S. Arizona Avenue, Chandler, AZ 85225","Monday - Thursday, 7:00 AM - 6:00 PM; Friday, 7:00 AM - 5:00 PM",
Development Services,Apply for a business license,This applies to individuals or entities intending to conduct business within Gilbert city limits. It covers obtaining the required business license based on business classification and size. Fees start at 25 and increase based on business type and gross receipts.,Typically 5-10 business days after application submission and fee payment.,25-1000,"Determine your business license classification, complete the online application form, submit required documents, pay fees, and wait for approval from Development Services.",https://www.gilbertaz.gov/departments/development-services/business-licenses/apply-for-a-business-license,,Business license must be obtained prior to commencing business operations in Gilbert.,1-3,Yes,No,No,,2025-11-18,https://www.gilbertaz.gov/departments/development-services/business-licenses,Town of Gilbert Development Services Department,Any individual or entity intending to conduct business within Gilbert must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the Town of Gilbert city limits, Arizona.","Completed business license application form, Proof of identification, Zoning approval or certificate of occupancy if applicable, State or federal licenses if required for the business type, Payment for applicable fees",,,,"[{""question"":""Who needs a business license in Gilbert?"",""answer"":""Any individual or entity intending to conduct business within Gilbert city limits must obtain a business license.""},{""question"":""How much does the business license cost?"",""answer"":""Fees start at 25 plus additional fees based on business classification and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",480-503-6800,businesslicense@gilbertaz.gov,"50 E. Civic Center Drive, Gilbert, AZ 85296","Monday - Thursday, 7:00 AM - 6:00 PM; Friday, 7:00 AM - 5:00 PM",
City of Glendale,Apply for a business license,"This applies to any individual or entity conducting business within Glendale city limits, including home-based, commercial, and non-profit organizations. It covers obtaining the required business license to legally operate within the city. Fees vary based on business type and size, with initial application and annual renewal costs.",Typically 5-10 business days after application submission and fee payment.,50-200,"Determine your business license classification, complete the application form online or in person, submit required documents, pay applicable fees, wait for review and approval, then receive your business license certificate.",,,Business licenses must be obtained prior to commencing business operations. Annual renewals are due by December 31 each year.,1-3,Yes,No,No,,2025-11-18,https://www.glendaleaz.com/business/business-licenses,City of Glendale Business Licensing Division,"Any individual or entity conducting business within Glendale city limits must obtain a business license. This includes home-based businesses, commercial businesses, and non-profit organizations.","Applies to all businesses operating within the city limits of Glendale, Arizona.","Completed business license application form, Valid government-issued photo ID, Proof of business address (lease agreement, utility bill, etc.), Special permits or certifications if applicable (e.g., health permits, zoning approvals), Federal Employer Identification Number (EIN) or Social Security Number",,,,"[{""question"":""Who needs a business license in Glendale?"",""answer"":""Any individual or entity conducting business within Glendale city limits must obtain a business license.""},{""question"":""What documents are required to apply?"",""answer"":""You need a completed application form, valid photo ID, proof of business address, any special permits if applicable, and your EIN or SSN.""},{""question"":""How long does the application process take?"",""answer"":""Typically 5-10 business days after submission and fee payment.""}]",623-930-2800,businesslicense@glendaleaz.com,"5850 W. Glendale Avenue, Glendale, AZ 85301","Monday - Thursday, 7:00 AM - 6:00 PM; Friday, 7:00 AM - 5:30 PM",
City of Mesa Business Licensing,Apply for a business license,"This applies to individuals or entities intending to conduct business within Mesa city limits. It covers obtaining the required business license based on business type and size. Fees vary starting at $50, with annual renewal required.",Typically 5-10 business days after application submission and fee payment.,50-200,"Determine the appropriate license type, complete the application online or in person, submit required documents, pay fees, wait for review and approval, then receive your license.",,100-300,Business license must be obtained before commencing business operations within Mesa city limits.,1-3,Yes,No,No,"[""https://www.mesaaz.gov/business/business-licenses/apply-for-a-business-license"", ""https://www.mesaaz.gov/home/showpublisheddocument/3453/637437034040770000"", ""https://www.mesaaz.gov/home/showpublisheddocument/3454/637437034041370000""]",2025-11-18,https://www.mesaaz.gov/business/business-licenses,City of Mesa Business Licensing Division,Any individual or entity intending to conduct business within Mesa city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the city limits of Mesa, Arizona.","Completed business license application form, Valid government-issued photo ID, Proof of business location (lease agreement, utility bill, or property deed), Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if applicable (e.g., health permits, zoning approvals)","Failing to submit all required documents, not obtaining additional permits when required, missing payment of applicable fees, starting business operations before license approval.",,,"[{""question"":""Who needs a business license in Mesa?"",""answer"":""Any individual or entity intending to conduct business within Mesa city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $50 and vary based on business type and size, with annual renewal fees required.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",480-644-4273,businesslicenses@mesaaz.gov,"20 E Main St, Mesa, AZ 85201","Monday - Thursday, 7:00 AM - 6:00 PM; Friday, 7:00 AM - 5:00 PM",
City of Phoenix Licenses and Permits,Apply for a business license,"This applies to any individual or entity conducting business within Phoenix city limits. It covers obtaining the required business license to legally operate, with fees starting at $50 and additional charges based on business type and gross receipts. Some businesses may require extra permits or inspections.",Typically 5-10 business days after application submission and fee payment.,50-500,"Determine the appropriate business license type, complete the online application form, submit required documents, pay fees, and wait for approval to receive your license.",,1000-3000,Business licenses must be obtained before commencing business operations within Phoenix city limits.,1-3,Yes,No,No,,2025-11-18,https://www.phoenix.gov/licenses,City of Phoenix Licenses and Permits Division,Any individual or entity conducting business within Phoenix city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the city limits of Phoenix, Arizona.","Completed business license application form, Proof of identity (e.g., government-issued ID), Federal Employer Identification Number (EIN) or Social Security Number, Zoning approval or certificate of occupancy if applicable, Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Phoenix?"",""answer"":""Any individual or entity conducting business within Phoenix city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $50 and vary based on business type, size, and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",602-262-6785,businesslicenses@phoenix.gov,"200 W. Washington St., 1st Floor, Phoenix, AZ 85003","Monday - Friday, 8:00 AM - 5:00 PM",
City of Scottsdale,Apply for a business license,"This applies to any individual or entity conducting business within Scottsdale city limits. It covers obtaining the necessary license to legally operate a business in the city. Fees start at 50 and vary based on business type, size, and location.",Typically 5-10 business days after application submission.,50-200,"Determine your business license classification, complete the application form online or by PDF, submit the application with required documents and payment, wait for review and approval, then receive your business license certificate.",https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/Business/Forms/BusinessLicenseApplication.pdf,,Business licenses must be obtained before commencing business operations. Renewals are due annually by December 31.,2-4,Yes,No,No,"[""https://www.scottsdaleaz.gov/business/business-licenses/apply-for-a-business-license"", ""https://www.scottsdaleaz.gov/business/business-licenses/fees"", ""https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/Business/Forms/BusinessLicenseApplication.pdf""]",2025-11-18,https://www.scottsdaleaz.gov/business/business-licenses,City of Scottsdale Business Services Division,Any individual or entity conducting business within Scottsdale city limits must obtain a business license.,"Applies to businesses operating within the city limits of Scottsdale, Arizona.","Completed Business License Application form, Proof of identity, Zoning clearance or approval, State and federal tax identification numbers, Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Scottsdale?"",""answer"":""Any individual or entity conducting business within Scottsdale city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 50 and vary based on business type, size, and location.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission.""}]",480-312-2400,businesslicense@scottsdaleaz.gov,"7447 E Indian School Rd, Scottsdale, AZ 85251","Monday to Thursday, 7:00 AM to 6:00 PM; Friday, 7:00 AM to 5:00 PM",
City of Tucson,Apply for a business license,This applies to any individual or entity intending to conduct business within Tucson city limits. It covers obtaining the required business license based on business type and gross receipts. Initial fees start at 25 USD with additional fees depending on classification and revenue.,Typically 5-10 business days after submission of a complete application.,25-1000,"Determine your business license classification, complete the application form online or in person, submit required documents, pay applicable fees, wait for review and approval, then receive your business license certificate.",,,Business licenses must be obtained before commencing business operations. Renewal is annual with deadlines on the anniversary of the original license date.,1-3,Yes,No,No,,2025-11-18,https://www.tucsonaz.gov/business/business-licenses,City of Tucson Development Services Department,Any individual or entity intending to conduct business within Tucson city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to all businesses operating within the city limits of Tucson, Arizona.","Completed business license application form, Valid government-issued photo ID, Proof of business address (lease agreement, utility bill, etc.), Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if required for specific business types",,,,"[{""question"":""Who needs a business license in Tucson?"",""answer"":""Any individual or entity intending to conduct business within Tucson city limits must obtain a business license.""},{""question"":""What documents are required to apply?"",""answer"":""Completed application form, valid photo ID, proof of business address, EIN or SSN, and any additional permits if applicable.""},{""question"":""How much does the business license cost?"",""answer"":""Fees start at $25 plus additional fees based on business type and gross receipts.""}]",520-791-5550,businesslicense@tucsonaz.gov,"201 N. Stone Ave., 3rd Floor, Tucson, AZ 85701","Monday to Friday, 8:00 AM to 5:00 PM",
City of Anaheim Business License Division,Apply for a business license,"This applies to any individual or entity conducting business within Anaheim city limits. It covers obtaining a business license required to legally operate, with fees starting at $50 and varying by business type and size. Additional permits may be required for certain business types.",Typically processed within 5-10 business days after submission.,50-500,"Complete the Business License Application form, submit it with required documents and payment, wait for review by the Business License Division, obtain any additional permits if needed, and receive the Business License Certificate upon approval.",https://www.anaheim.net/192/Business-License,,Business license must be obtained prior to commencing business operations; renewals are due annually by December 31.,1-3,Yes,No,No,,2025-11-18,https://www.anaheim.net/192/Business-License,"City of Anaheim Business License Division, Finance Department",Any individual or entity conducting business within Anaheim city limits must obtain a business license before commencing operations.,"Applies to all businesses operating within the city limits of Anaheim, California.","Completed Business License Application form, Valid government-issued photo ID, Seller’s Permit (if applicable), Fictitious Business Name Statement (if applicable), Zoning clearance or approval (if applicable), Proof of workers' compensation insurance (if applicable)","Failing to submit all required documents, missing the annual renewal deadline, not obtaining additional permits when required.",,,"[{""question"":""Who needs a business license in Anaheim?"",""answer"":""Any individual or entity conducting business within Anaheim city limits must obtain a business license before starting operations.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $50 and vary based on business type and size, with additional fees for late renewals or changes.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission.""}]",(714) 765-5153,businesslicense@anaheim.net,"200 S. Anaheim Blvd., Suite 276, Anaheim, CA 92805","Monday - Friday, 8:00 AM - 5:00 PM",
City of Bakersfield Business License Division,Apply for a business license,"This applies to any individual or entity conducting business within Bakersfield city limits. It covers obtaining the required license to legally operate a business. Fees start at a minimum annual charge of 50 USD, varying by business type and size.",Typically processed within 5-7 business days after application submission.,50-500,"Determine your business type and license requirements. Complete and submit the application form online or in person with required documents and payment. Wait for review and approval, then receive your business license. Renew annually before expiration.",https://www.bakersfieldcity.us/administration/business_license/application.htm,,Business license must be obtained before starting business operations; annual renewal is required by the anniversary date of issuance.,1-3,Yes,No,No,,2025-11-18,https://www.bakersfieldcity.us/administration/business_license/index.htm,"City of Bakersfield Business License Division, Administration Department",Any individual or entity conducting business within the city of Bakersfield must obtain a business license prior to commencing operations.,"This business license is required for all businesses operating within the city limits of Bakersfield, California.","Completed business license application form, Valid government-issued identification, Seller’s permit (if applicable), Zoning clearance or approval (if applicable), Fictitious business name statement (if applicable), Proof of workers' compensation insurance (if applicable)","Failing to obtain the license before starting business operations, submitting incomplete applications, missing required documents, late renewals causing additional fees.",,,"[{""question"":""Who needs a business license in Bakersfield?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a business license before starting operations.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at a minimum of 50 USD annually and vary based on business type and size.""},{""question"":""How long does it take to get a business license?"",""answer"":""Applications are typically processed within 5-7 business days after submission.""}]",(661) 326-3730,businesslicense@bakersfieldcity.us,"City Hall, 1501 Truxtun Ave, Bakersfield, CA 93301","Monday - Friday, 8:00 AM - 5:00 PM",
